PARK_ID,RINK_ID,NAME,ADDRESS,WARD,ALTERNATE_NAME,MAJOR_CROSSSTREETS,FACILITY,PUBLIC_CHANGE_SPACE,BOARDS_Y_N,BOARDS_TYPE,TOILET,LIGHTS_TYPE,RINK_TYPE,SUPERVISION,ICE_MAINTENANCE,PARK_ADDRESS_FR,INSTALLATION_FR,SPACE_CHANGEMENT_PUBLIQUE_FR,PANNEAUX_Y_N_FR,PANNEAUX_FR,TOILETTE_FR,LUMI?RES_FR,PATINOIRE_TYPE_FR,SUPERVISION_FR,NAME_FR,OPEN_2012,Latitude,Longitude
988,81,WESTCLIFFE PARK,681 SEYTON DR Nepean,8,,Robertson/Westcliffe,COMMUNITY BUILDING,YES,YES,TEMP,YES,PERM,Rink,YES,Community,"681, prom SEYTON",Installation communautaire,Oui,Oui,Temp,Oui,Oui,patinoire,Oui,PARC WESTCLIFFE,Y,45.31596259480,-75.83505717870
31,214,CARLETON HEIGHTS PARK,1665 APELDOORN AVE Old Ottawa,16,,Appledoorn/Stormont,COMMUNITY CENTER,YES,YES,TEMP,YES,TEMP,RINK with Puddle,YES,Community,"1665, av APELDOORN",Centre communautaire,Oui,Oui,Temp,Oui,Oui,patinoire avec flaque,Oui,PARC CARLETON HEIGHTS,Y,45.35899293470,-75.70244151140
1190,79,TANGLEWOOD PARK,30 WOODFIELD DR Nepean,9,,Merivale/West Hunt Club,COMMUNITY BUILDING,YES,YES,TEMP,YES,PERM,RINK with Puddle,YES,Community,"30, prom WOODFIELD",Installation communautaire,Oui,Oui,Temp,Oui,Oui,patinoire avec flaque,Oui,PARC TANGLEWOOD,Y,45.33632945660,-75.73095264950
134,89,BREWER PARK,100 BREWER WAY Old Ottawa,17,,Sunnyside/Seneca,SHACK + TRAILER + ARENA,,YES,TEMP,YES,TEMP,RINK with Puddle + OVAL,YES,Community,"100, voie BREWER",Cabane,,Oui,Temp,Oui,Oui,patinoire avec flaque et OVAL,Oui,PARC BREWER,Y,45.38844757720,-75.68893240790
618,20,LISA PARK,6 LISA AVE Old Ottawa,8,,Baseline/Pinecrest,TRAILER,YES,NO,NONE,NO,PERM,Double Surface,YES,Community,"6, av LISA",Trailer,Oui,Non,Non,Non,Oui,surface double,Oui,PARC LISA,Y,45.34471666940,-75.78906666680
105,70,MERIVALE GARDENS PARK,25 BIE ST Nepean,9,,Woodroffe/Vaan,NONE,NO,NO,NONE,NO,PERM,Puddle,NO,City,"25, rue BIE",None,Non,Non,Non,Non,Oui,flaque,Non,PARC MERIVALE GARDENS,Y,45.32187517680,-75.74006302600
397,82,WEYBRIDGE PARK,75 FLANDERS ST Nepean,3,,Jockvale/Cedarview,TRAILER - NEPEAN,YES,YES,TEMP,NO,PERM,Rink,YES,Community,"75, rue FLANDERS",Trailer,Oui,Oui,Temp,Non,Oui,patinoire,Oui,PARC WEYBRIDGE,Y,45.27011580160,-75.76998694240
566,27,PARKWAY PARK,2095 KINGSLEY RD Old Ottawa,8,,Baseline/Cobden,FIELDHOUSE,YES,YES,TEMP,YES,TEMP,RINK with Puddle,YES,Community,"2095, ch KINGSLEY",Pavillon,Oui,Oui,Temp,Oui,Oui,patinoire avec flaque,Oui,PARC PARKWAY,Y,45.35583429220,-75.77614970690
234,59,GENERAL BURNS PARK,107 CHESTERTON DR Nepean,9,,Merivale/Viewmount,COMMUNITY BUILDING,YES,YES,TEMP,YES,PERM,RINK with Puddle,YES,Community,"107, prom CHESTERTON",Installation communautaire,Oui,Oui,Temp,Oui,Oui,patinoire avec flaque,Oui,PARC GENERAL-BURNS,Y,45.35215468510,-75.71976932620
582,65,LARKIN PARK,76 LARKIN DR Nepean,3,,Greenbank/Fallowfield,COMMUNITY BUILDING,YES,YES,TEMP,YES,PERM,Rink,YES,Community,"76, prom LARKIN",Installation communautaire,Oui,Oui,Temp,Oui,Oui,patinoire,Oui,PARC LARKIN,Y,45.28223330320,-75.76270475460
